"boot_id","sample_id","stage","wb_us","logo_us","crop_us","wall_us","cpu_us","wait_us","host_connected","image_send","real_io","reset_mode","coverage_note"
2,9,"waybill_only",71393,"","",71394,26861,44533,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,10,"waybill_only",67065,"","",67068,24481,42587,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,11,"waybill_only",63302,"","",63303,23084,40219,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,12,"waybill_only",68081,"","",68082,26023,42059,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,13,"waybill_only",67080,"","",67081,24227,42854,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,14,"waybill_only",64859,"","",64861,23479,41382,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,15,"waybill_only",67697,"","",67698,23456,44242,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,16,"waybill_only",67880,"","",67882,24874,43008,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,17,"waybill_only",66705,"","",66707,24547,42160,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,18,"waybill_only",65594,"","",65595,23975,41620,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,19,"waybill_only",67277,"","",67281,23704,43577,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,20,"waybill_only",70525,"","",70526,26392,44134,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,21,"waybill_only",61210,"","",61212,22854,38358,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,22,"waybill_only",67949,"","",67950,24387,43563,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,23,"waybill_only",68446,"","",68448,26381,42067,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,24,"waybill_only",64219,"","",64220,23255,40965,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,25,"waybill_only",62209,"","",62212,22985,39227,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,26,"waybill_only",67977,"","",67979,23598,44381,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,27,"waybill_only",68054,"","",68055,24221,43834,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,28,"waybill_only",68376,"","",68378,25786,42592,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,29,"waybill_only",67339,"","",67341,23545,43796,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,30,"waybill_only",58473,"","",58475,21524,36951,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,31,"waybill_only",67878,"","",67880,26423,41457,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,32,"waybill_only",64108,"","",64109,24339,39770,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,33,"waybill_only",70415,"","",70417,26979,43438,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,34,"waybill_only",64942,"","",64944,23668,41276,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,35,"waybill_only",63330,"","",63331,24809,38522,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,36,"waybill_only",67660,"","",67661,23666,43995,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,37,"waybill_only",63327,"","",63329,22814,40515,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,38,"waybill_only",122134,"","",122136,29466,92670,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,39,"waybill_only",61542,"","",61544,23164,38380,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,40,"waybill_only",68018,"","",68020,24294,43726,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,41,"waybill_only",69539,"","",69540,26573,42967,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,42,"waybill_only",65597,"","",65598,23952,41646,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,43,"waybill_only",62743,"","",62745,22618,40127,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,44,"waybill_only",66956,"","",66957,24309,42648,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,45,"waybill_only",67362,"","",67364,24991,42373,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,46,"waybill_only",67147,"","",67148,25808,41340,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,47,"waybill_only",67807,"","",67808,24519,43289,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,48,"waybill_only",66839,"","",66841,23742,43099,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,49,"waybill_only",67621,"","",67623,24951,42672,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,50,"waybill_only",69276,"","",69277,26130,43147,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
2,51,"waybill_only",69468,"","",69469,25922,43547,"not_recorded_per_sample","not_recorded_per_sample","enabled_in_firmware_not_physically_exercised","CP2102N_RTS_not_power_cycle","no_logo_no_real_package"
